dateDataRecieved,departAirportCode,departAirportName,arrivalAirportCode,arrivalAirportName,departDate,arrivalDate,depTime,arrivalTime,journeyDuration,flightNumber,routeGroup,JourneyType,availableSeats,totalNumberOfStops,totalPrice,currency,fareCount,farePublishedFare,flightKey
2023-03-28,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-07,2023-04-07,07:00:00,09:25:00,02:25,FR 7737,LEISURE,SUN_BREAK,1,1,166.02,EUR,1,166.02,FR~7737~ ~~CRL~04/07/2023 07:00~BDS~04/07/2023 09:25~~
2023-03-28,CRL,Brussels (Charleroi),NAP,Naples,2023-04-07,2023-04-07,09:10:00,11:25:00,02:15,FR 1302,LEISURE,SUN_BREAK,1,1,143.66,EUR,1,143.66,FR~1302~ ~~CRL~04/07/2023 09:10~NAP~04/07/2023 11:25~~
2023-03-28,CRL,Brussels (Charleroi),NAP,Naples,2023-04-07,2023-04-07,20:00:00,22:15:00,02:15,FR 1310,LEISURE,SUN_BREAK,-1,1,111.61,EUR,1,111.61,FR~1310~ ~~CRL~04/07/2023 20:00~NAP~04/07/2023 22:15~~
2023-03-28,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-07,2023-04-07,16:35:00,19:05:00,02:30,FR 6269,LEISURE,SUN_BREAK,-1,1,166.27,EUR,1,166.27,FR~6269~ ~~CRL~04/07/2023 16:35~PMO~04/07/2023 19:05~~
2023-03-28,CRL,Brussels (Charleroi),FAO,Faro,2023-04-07,2023-04-07,07:05:00,09:00:00,02:55,FR 2941,LEISURE,SUN_BREAK,3,1,178.79,EUR,1,178.79,FR~2941~ ~~CRL~04/07/2023 07:05~FAO~04/07/2023 09:00~~
2023-03-28,CRL,Brussels (Charleroi),FAO,Faro,2023-04-07,2023-04-07,17:30:00,19:25:00,02:55,FR 6312,LEISURE,SUN_BREAK,4,1,177.4,EUR,1,177.4,FR~6312~ ~~CRL~04/07/2023 17:30~FAO~04/07/2023 19:25~~
2023-03-28,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-07,2023-04-07,09:45:00,12:10:00,02:25,FR 3534,LEISURE,SUN_BREAK,-1,1,172.49,EUR,1,172.49,FR~3534~ ~~CRL~04/07/2023 09:45~ALC~04/07/2023 12:10~~
2023-03-28,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-07,2023-04-07,17:20:00,19:45:00,02:25,FR 9053,LEISURE,SUN_BREAK,3,1,129.87,EUR,1,129.87,FR~9053~ ~~CRL~04/07/2023 17:20~ALC~04/07/2023 19:45~~
2023-03-28,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-04-07,2023-04-07,16:15:00,18:40:00,02:25,FR 6456,LEISURE,SUN_BREAK,1,1,84.08,EUR,1,84.08,FR~6456~ ~~CRL~04/07/2023 16:15~IBZ~04/07/2023 18:40~~
2023-03-28,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-07,2023-04-07,10:00:00,12:45:00,02:45,FR 1928,LEISURE,SUN_BREAK,-1,1,237.59,EUR,1,237.59,FR~1928~ ~~CRL~04/07/2023 10:00~AGP~04/07/2023 12:45~~
2023-03-28,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-07,2023-04-07,20:55:00,23:40:00,02:45,FR 1916,LEISURE,SUN_BREAK,4,1,307.72,EUR,1,307.72,FR~1916~ ~~CRL~04/07/2023 20:55~AGP~04/07/2023 23:40~~
2023-03-28,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-04-07,2023-04-07,06:30:00,10:05:00,04:35,FR 563,CANARY,SUN_BREAK,3,1,172.41,EUR,1,172.41,FR~ 563~ ~~CRL~04/07/2023 06:30~TFS~04/07/2023 10:05~~
2023-03-28,CRL,Brussels (Charleroi),HER,Heraklion Crete,2023-04-08,2023-04-08,08:10:00,12:35:00,03:25,FR 7986,LEISURE,SUN_BREAK,-1,1,86.28,EUR,1,95.99,FR~7986~ ~~CRL~04/08/2023 08:10~HER~04/08/2023 12:35~~
2023-03-28,CRL,Brussels (Charleroi),NAP,Naples,2023-04-08,2023-04-08,07:45:00,10:00:00,02:15,FR 1302,LEISURE,SUN_BREAK,-1,1,80.51,EUR,1,80.51,FR~1302~ ~~CRL~04/08/2023 07:45~NAP~04/08/2023 10:00~~
2023-03-28,CRL,Brussels (Charleroi),PMO,Palermo,2023-04-08,2023-04-08,21:30:00,23:59:00,02:29,FR 6269,LEISURE,SUN_BREAK,4,1,95.57,EUR,1,99.99,FR~6269~ ~~CRL~04/08/2023 21:30~PMO~04/08/2023 23:59~~
2023-03-28,CRL,Brussels (Charleroi),FAO,Faro,2023-04-08,2023-04-08,11:05:00,13:00:00,02:55,FR 2941,LEISURE,SUN_BREAK,1,1,171.49,EUR,1,171.49,FR~2941~ ~~CRL~04/08/2023 11:05~FAO~04/08/2023 13:00~~
2023-03-28,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-08,2023-04-08,15:50:00,18:15:00,02:25,FR 3534,LEISURE,SUN_BREAK,3,1,128.87,EUR,1,128.87,FR~3534~ ~~CRL~04/08/2023 15:50~ALC~04/08/2023 18:15~~
2023-03-28,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-08,2023-04-08,13:35:00,16:20:00,02:45,FR 1916,LEISURE,SUN_BREAK,2,1,205.49,EUR,1,205.49,FR~1916~ ~~CRL~04/08/2023 13:35~AGP~04/08/2023 16:20~~
2023-03-28,CRL,Brussels (Charleroi),PMI,Mallorca,2023-04-08,2023-04-08,17:20:00,19:30:00,02:10,FR 7831,LEISURE,SUN_BREAK,-1,1,94.99,EUR,1,94.99,FR~7831~ ~~CRL~04/08/2023 17:20~PMI~04/08/2023 19:30~~
2023-03-28,BRU,Brussels,AGP,Malaga,2023-04-09,2023-04-09,09:55:00,12:50:00,02:55,FR 2923,LEISURE,SUN_BREAK,3,1,161.14,EUR,1,161.14,FR~2923~ ~~BRU~04/09/2023 09:55~AGP~04/09/2023 12:50~~
2023-03-28,CRL,Brussels (Charleroi),CFU,Corfu,2023-04-09,2023-04-09,17:00:00,20:40:00,02:40,FR 6251,LEISURE,SUN_BREAK,3,1,74.24,EUR,1,74.24,FR~6251~ ~~CRL~04/09/2023 17:00~CFU~04/09/2023 20:40~~
2023-03-28,CRL,Brussels (Charleroi),BDS,Brindisi,2023-04-09,2023-04-09,17:30:00,19:55:00,02:25,FR 7737,LEISURE,SUN_BREAK,1,1,59.95,EUR,1,59.95,FR~7737~ ~~CRL~04/09/2023 17:30~BDS~04/09/2023 19:55~~
2023-03-28,CRL,Brussels (Charleroi),NAP,Naples,2023-04-09,2023-04-09,09:45:00,12:00:00,02:15,FR 1302,LEISURE,SUN_BREAK,3,1,129.36,EUR,1,129.36,FR~1302~ ~~CRL~04/09/2023 09:45~NAP~04/09/2023 12:00~~
2023-03-28,CRL,Brussels (Charleroi),FAO,Faro,2023-04-09,2023-04-09,16:45:00,18:40:00,02:55,FR 2941,LEISURE,SUN_BREAK,3,1,135.64,EUR,1,135.64,FR~2941~ ~~CRL~04/09/2023 16:45~FAO~04/09/2023 18:40~~
2023-03-28,CRL,Brussels (Charleroi),ALC,Alicante,2023-04-09,2023-04-09,09:55:00,12:20:00,02:25,FR 3534,LEISURE,SUN_BREAK,2,1,204.99,EUR,1,204.99,FR~3534~ ~~CRL~04/09/2023 09:55~ALC~04/09/2023 12:20~~
2023-03-28,CRL,Brussels (Charleroi),IBZ,Ibiza,2023-04-09,2023-04-09,07:30:00,09:55:00,02:25,FR 6456,LEISURE,SUN_BREAK,3,1,54.88,EUR,1,54.88,FR~6456~ ~~CRL~04/09/2023 07:30~IBZ~04/09/2023 09:55~~
2023-03-28,CRL,Brussels (Charleroi),AGP,Malaga,2023-04-09,2023-04-10,21:30:00,00:15:00,02:45,FR 1916,LEISURE,SUN_BREAK,5,1,153.92,EUR,1,153.92,FR~1916~ ~~CRL~04/09/2023 21:30~AGP~04/10/2023 00:15~~
2023-03-28,CRL,Brussels (Charleroi),TFS,Tenerife (South),2023-04-09,2023-04-09,12:35:00,16:10:00,04:35,FR 563,CANARY,SUN_BREAK,-1,1,169.27,EUR,1,169.27,FR~ 563~ ~~CRL~04/09/2023 12:35~TFS~04/09/2023 16:10~~
2023-03-28,BRU,Brussels,AGP,Malaga,2023-04-10,2023-04-10,17:40:00,20:30:00,02:50,FR 2923,LEISURE,SUN_BREAK,-1,1,93.92,EUR,1,96.99,FR~2923~ ~~BRU~04/10/2023 17:40~AGP~04/10/2023 20:30~~
2023-03-28,BRU,Brussels,PMI,Mallorca,2023-04-10,2023-04-10,20:25:00,22:40:00,02:15,FR 2915,LEISURE,SUN_BREAK,-1,1,85.62,EUR,1,85.62,FR~2915~ ~~BRU~04/10/2023 20:25~PMI~04/10/2023 22:40~~
2023-03-28,CRL,Brussels (Charleroi),RHO,Rhodes,2023-04-10,2023-04-10,12:00:00,16:35:00,03:35,FR 8577,LEISURE,SUN_BREAK,4,1,131.28,EUR,1,131.28,FR~8577~ ~~CRL~04/10/2023 12:00~RHO~04/10/2023 16:35~~
